datetime,timestamp_ms,value,sensor
2025-12-24 19:08:27,1766603307000,24.57,sensor:temperature
2025-12-24 19:08:34,1766603314000,24.57,sensor:temperature
2025-12-24 19:08:40,1766603320000,24.58,sensor:temperature
2025-12-24 19:08:46,1766603326000,24.59,sensor:temperature
2025-12-24 19:08:53,1766603333000,24.61,sensor:temperature
2025-12-24 19:08:59,1766603339000,24.63,sensor:temperature
2025-12-24 19:09:06,1766603346000,24.62,sensor:temperature
2025-12-24 19:09:13,1766603353000,24.63,sensor:temperature
2025-12-24 19:09:19,1766603359000,24.62,sensor:temperature
2025-12-24 19:09:25,1766603365000,24.63,sensor:temperature
2025-12-24 19:09:32,1766603372000,24.64,sensor:temperature
2025-12-24 19:09:39,1766603379000,24.63,sensor:temperature
2025-12-24 19:09:46,1766603386000,24.62,sensor:temperature
2025-12-24 19:09:53,1766603393000,24.62,sensor:temperature
2025-12-24 19:09:59,1766603399000,24.6,sensor:temperature
2025-12-24 19:10:07,1766603407000,24.61,sensor:temperature
2025-12-24 19:10:13,1766603413000,24.61,sensor:temperature
2025-12-24 19:10:20,1766603420000,24.6,sensor:temperature
2025-12-24 19:10:27,1766603427000,24.64,sensor:temperature
2025-12-24 19:10:34,1766603434000,24.64,sensor:temperature
2025-12-24 19:10:40,1766603440000,24.65,sensor:temperature
2025-12-24 19:10:46,1766603446000,24.66,sensor:temperature
2025-12-24 19:10:53,1766603453000,24.68,sensor:temperature
2025-12-24 19:11:00,1766603460000,24.69,sensor:temperature
2025-12-24 19:11:06,1766603466000,24.69,sensor:temperature
2025-12-24 19:11:13,1766603473000,24.7,sensor:temperature
2025-12-24 19:11:19,1766603479000,24.68,sensor:temperature
2025-12-24 19:11:25,1766603485000,24.68,sensor:temperature
2025-12-24 19:11:31,1766603491000,24.7,sensor:temperature
2025-12-24 19:11:37,1766603497000,24.7,sensor:temperature
2025-12-24 19:11:46,1766603506000,24.7,sensor:temperature
2025-12-24 19:11:52,1766603512000,24.7,sensor:temperature
2025-12-24 19:11:59,1766603519000,24.69,sensor:temperature
2025-12-24 19:12:06,1766603526000,24.66,sensor:temperature
2025-12-24 19:12:16,1766603536000,24.68,sensor:temperature
2025-12-24 19:12:21,1766603541000,24.68,sensor:temperature
2025-12-24 19:12:28,1766603548000,24.65,sensor:temperature
2025-12-24 19:12:34,1766603554000,24.65,sensor:temperature
2025-12-24 19:12:40,1766603560000,24.62,sensor:temperature
2025-12-24 19:12:47,1766603567000,24.61,sensor:temperature
2025-12-24 19:12:53,1766603573000,24.61,sensor:temperature
2025-12-24 19:13:00,1766603580000,24.62,sensor:temperature
2025-12-24 19:13:07,1766603587000,24.62,sensor:temperature
2025-12-24 19:13:14,1766603594000,24.62,sensor:temperature
2025-12-24 19:13:20,1766603600000,24.62,sensor:temperature
2025-12-24 19:13:28,1766603608000,24.64,sensor:temperature
2025-12-24 19:13:36,1766603616000,24.64,sensor:temperature
2025-12-24 19:13:42,1766603622000,24.63,sensor:temperature
2025-12-24 19:13:49,1766603629000,24.63,sensor:temperature
2025-12-24 19:13:56,1766603636000,24.6,sensor:temperature
2025-12-24 19:14:03,1766603643000,24.59,sensor:temperature
2025-12-24 19:14:10,1766603650000,24.59,sensor:temperature
2025-12-24 19:14:17,1766603657000,24.59,sensor:temperature
2025-12-24 19:14:25,1766603665000,24.6,sensor:temperature
2025-12-24 19:14:32,1766603672000,24.61,sensor:temperature
2025-12-24 19:14:39,1766603679000,24.63,sensor:temperature
2025-12-24 19:14:45,1766603685000,24.63,sensor:temperature
2025-12-24 19:14:52,1766603692000,24.61,sensor:temperature
2025-12-24 19:14:58,1766603698000,24.63,sensor:temperature
2025-12-24 19:15:05,1766603705000,24.64,sensor:temperature
2025-12-24 19:15:11,1766603711000,24.62,sensor:temperature
2025-12-24 19:15:17,1766603717000,24.62,sensor:temperature
2025-12-24 19:15:23,1766603723000,24.6,sensor:temperature
2025-12-24 19:15:29,1766603729000,24.58,sensor:temperature
2025-12-24 19:15:35,1766603735000,24.58,sensor:temperature
2025-12-24 19:15:42,1766603742000,24.57,sensor:temperature
2025-12-24 19:15:49,1766603749000,24.56,sensor:temperature
2025-12-24 19:15:59,1766603759000,24.54,sensor:temperature
2025-12-24 19:16:06,1766603766000,24.5,sensor:temperature
2025-12-24 19:16:13,1766603773000,24.5,sensor:temperature
2025-12-24 19:16:20,1766603780000,24.49,sensor:temperature
2025-12-24 19:16:26,1766603786000,24.49,sensor:temperature
2025-12-24 19:16:33,1766603793000,24.48,sensor:temperature
2025-12-24 19:16:40,1766603800000,24.48,sensor:temperature
2025-12-24 19:16:46,1766603806000,24.49,sensor:temperature
2025-12-24 19:16:53,1766603813000,24.49,sensor:temperature
2025-12-24 19:16:59,1766603819000,24.49,sensor:temperature
2025-12-24 19:17:06,1766603826000,24.49,sensor:temperature
2025-12-24 19:17:13,1766603833000,24.48,sensor:temperature
2025-12-24 19:17:19,1766603839000,24.47,sensor:temperature
2025-12-24 19:17:26,1766603846000,24.47,sensor:temperature
2025-12-24 19:17:33,1766603853000,24.47,sensor:temperature
2025-12-24 19:17:40,1766603860000,24.46,sensor:temperature
2025-12-24 19:17:47,1766603867000,24.46,sensor:temperature
2025-12-24 19:17:54,1766603874000,24.44,sensor:temperature
2025-12-24 19:18:01,1766603881000,24.44,sensor:temperature
2025-12-24 19:18:08,1766603888000,24.44,sensor:temperature
2025-12-24 19:18:15,1766603895000,24.44,sensor:temperature
2025-12-24 19:18:21,1766603901000,24.44,sensor:temperature
2025-12-24 19:18:28,1766603908000,24.43,sensor:temperature
2025-12-24 19:18:35,1766603915000,24.44,sensor:temperature
2025-12-24 19:18:41,1766603921000,24.43,sensor:temperature
2025-12-24 19:18:48,1766603928000,24.43,sensor:temperature
2025-12-24 19:18:55,1766603935000,24.43,sensor:temperature
2025-12-24 19:19:02,1766603942000,24.41,sensor:temperature
2025-12-24 19:19:08,1766603948000,24.41,sensor:temperature
2025-12-24 19:19:15,1766603955000,24.4,sensor:temperature
2025-12-24 19:19:20,1766603960000,24.39,sensor:temperature
2025-12-24 19:19:28,1766603968000,24.4,sensor:temperature
2025-12-24 19:19:34,1766603974000,24.39,sensor:temperature
2025-12-24 19:19:41,1766603981000,24.38,sensor:temperature
2025-12-24 19:19:48,1766603988000,24.39,sensor:temperature
2025-12-24 19:19:54,1766603994000,24.36,sensor:temperature
2025-12-24 19:20:01,1766604001000,24.39,sensor:temperature
2025-12-24 19:20:07,1766604007000,24.39,sensor:temperature
2025-12-24 19:20:14,1766604014000,24.38,sensor:temperature
2025-12-24 19:20:21,1766604021000,24.39,sensor:temperature
2025-12-24 19:20:27,1766604027000,24.39,sensor:temperature
2025-12-24 19:20:34,1766604034000,24.4,sensor:temperature
2025-12-24 19:20:40,1766604040000,24.4,sensor:temperature
2025-12-24 19:20:46,1766604046000,24.39,sensor:temperature
2025-12-24 19:20:53,1766604053000,24.38,sensor:temperature
2025-12-24 19:20:59,1766604059000,24.39,sensor:temperature
