timestamp_ms,datetime,value,sensor
1766603253000,2025-12-24 21:07:33.000000,24.6,sensor:temperature
1766603260000,2025-12-24 21:07:40.000000,24.6,sensor:temperature
1766603267000,2025-12-24 21:07:47.000000,24.59,sensor:temperature
1766603274000,2025-12-24 21:07:54.000000,24.57,sensor:temperature
1766603280000,2025-12-24 21:08:00.000000,24.6,sensor:temperature
1766603287000,2025-12-24 21:08:07.000000,24.58,sensor:temperature
1766603294000,2025-12-24 21:08:14.000000,24.59,sensor:temperature
1766603300000,2025-12-24 21:08:20.000000,24.57,sensor:temperature
1766603307000,2025-12-24 21:08:27.000000,24.57,sensor:temperature
1766603314000,2025-12-24 21:08:34.000000,24.57,sensor:temperature
1766603320000,2025-12-24 21:08:40.000000,24.58,sensor:temperature
1766603326000,2025-12-24 21:08:46.000000,24.59,sensor:temperature
1766603333000,2025-12-24 21:08:53.000000,24.61,sensor:temperature
1766603339000,2025-12-24 21:08:59.000000,24.63,sensor:temperature
1766603346000,2025-12-24 21:09:06.000000,24.62,sensor:temperature
1766603353000,2025-12-24 21:09:13.000000,24.63,sensor:temperature
1766603359000,2025-12-24 21:09:19.000000,24.62,sensor:temperature
1766603365000,2025-12-24 21:09:25.000000,24.63,sensor:temperature
1766603372000,2025-12-24 21:09:32.000000,24.64,sensor:temperature
1766603379000,2025-12-24 21:09:39.000000,24.63,sensor:temperature
1766603386000,2025-12-24 21:09:46.000000,24.62,sensor:temperature
1766603393000,2025-12-24 21:09:53.000000,24.62,sensor:temperature
1766603399000,2025-12-24 21:09:59.000000,24.6,sensor:temperature
1766603407000,2025-12-24 21:10:07.000000,24.61,sensor:temperature
1766603413000,2025-12-24 21:10:13.000000,24.61,sensor:temperature
1766603420000,2025-12-24 21:10:20.000000,24.6,sensor:temperature
1766603427000,2025-12-24 21:10:27.000000,24.64,sensor:temperature
1766603434000,2025-12-24 21:10:34.000000,24.64,sensor:temperature
1766603440000,2025-12-24 21:10:40.000000,24.65,sensor:temperature
1766603446000,2025-12-24 21:10:46.000000,24.66,sensor:temperature
1766603453000,2025-12-24 21:10:53.000000,24.68,sensor:temperature
1766603460000,2025-12-24 21:11:00.000000,24.69,sensor:temperature
1766603466000,2025-12-24 21:11:06.000000,24.69,sensor:temperature
1766603473000,2025-12-24 21:11:13.000000,24.7,sensor:temperature
1766603479000,2025-12-24 21:11:19.000000,24.68,sensor:temperature
1766603485000,2025-12-24 21:11:25.000000,24.68,sensor:temperature
1766603491000,2025-12-24 21:11:31.000000,24.7,sensor:temperature
1766603497000,2025-12-24 21:11:37.000000,24.7,sensor:temperature
1766603506000,2025-12-24 21:11:46.000000,24.7,sensor:temperature
1766603512000,2025-12-24 21:11:52.000000,24.7,sensor:temperature
1766603519000,2025-12-24 21:11:59.000000,24.69,sensor:temperature
1766603526000,2025-12-24 21:12:06.000000,24.66,sensor:temperature
1766603536000,2025-12-24 21:12:16.000000,24.68,sensor:temperature
1766603541000,2025-12-24 21:12:21.000000,24.68,sensor:temperature
1766603548000,2025-12-24 21:12:28.000000,24.65,sensor:temperature
1766603554000,2025-12-24 21:12:34.000000,24.65,sensor:temperature
1766603560000,2025-12-24 21:12:40.000000,24.62,sensor:temperature
1766603567000,2025-12-24 21:12:47.000000,24.61,sensor:temperature
1766603573000,2025-12-24 21:12:53.000000,24.61,sensor:temperature
1766603580000,2025-12-24 21:13:00.000000,24.62,sensor:temperature
1766603587000,2025-12-24 21:13:07.000000,24.62,sensor:temperature
1766603594000,2025-12-24 21:13:14.000000,24.62,sensor:temperature
1766603600000,2025-12-24 21:13:20.000000,24.62,sensor:temperature
1766603608000,2025-12-24 21:13:28.000000,24.64,sensor:temperature
1766603616000,2025-12-24 21:13:36.000000,24.64,sensor:temperature
1766603622000,2025-12-24 21:13:42.000000,24.63,sensor:temperature
1766603629000,2025-12-24 21:13:49.000000,24.63,sensor:temperature
1766603636000,2025-12-24 21:13:56.000000,24.6,sensor:temperature
1766603643000,2025-12-24 21:14:03.000000,24.59,sensor:temperature
1766603650000,2025-12-24 21:14:10.000000,24.59,sensor:temperature
1766603657000,2025-12-24 21:14:17.000000,24.59,sensor:temperature
1766603665000,2025-12-24 21:14:25.000000,24.6,sensor:temperature
1766603672000,2025-12-24 21:14:32.000000,24.61,sensor:temperature
1766603679000,2025-12-24 21:14:39.000000,24.63,sensor:temperature
1766603685000,2025-12-24 21:14:45.000000,24.63,sensor:temperature
1766603692000,2025-12-24 21:14:52.000000,24.61,sensor:temperature
1766603698000,2025-12-24 21:14:58.000000,24.63,sensor:temperature
1766603705000,2025-12-24 21:15:05.000000,24.64,sensor:temperature
1766603711000,2025-12-24 21:15:11.000000,24.62,sensor:temperature
1766603717000,2025-12-24 21:15:17.000000,24.62,sensor:temperature
1766603723000,2025-12-24 21:15:23.000000,24.6,sensor:temperature
1766603729000,2025-12-24 21:15:29.000000,24.58,sensor:temperature
1766603735000,2025-12-24 21:15:35.000000,24.58,sensor:temperature
1766603742000,2025-12-24 21:15:42.000000,24.57,sensor:temperature
1766603749000,2025-12-24 21:15:49.000000,24.56,sensor:temperature
1766603759000,2025-12-24 21:15:59.000000,24.54,sensor:temperature
1766603766000,2025-12-24 21:16:06.000000,24.5,sensor:temperature
1766603773000,2025-12-24 21:16:13.000000,24.5,sensor:temperature
1766603780000,2025-12-24 21:16:20.000000,24.49,sensor:temperature
1766603786000,2025-12-24 21:16:26.000000,24.49,sensor:temperature
1766603793000,2025-12-24 21:16:33.000000,24.48,sensor:temperature
1766603800000,2025-12-24 21:16:40.000000,24.48,sensor:temperature
1766603806000,2025-12-24 21:16:46.000000,24.49,sensor:temperature
1766603813000,2025-12-24 21:16:53.000000,24.49,sensor:temperature
1766603819000,2025-12-24 21:16:59.000000,24.49,sensor:temperature
1766603826000,2025-12-24 21:17:06.000000,24.49,sensor:temperature
1766603833000,2025-12-24 21:17:13.000000,24.48,sensor:temperature
1766603839000,2025-12-24 21:17:19.000000,24.47,sensor:temperature
1766603846000,2025-12-24 21:17:26.000000,24.47,sensor:temperature
1766603853000,2025-12-24 21:17:33.000000,24.47,sensor:temperature
1766603860000,2025-12-24 21:17:40.000000,24.46,sensor:temperature
1766603867000,2025-12-24 21:17:47.000000,24.46,sensor:temperature
1766603874000,2025-12-24 21:17:54.000000,24.44,sensor:temperature
1766603881000,2025-12-24 21:18:01.000000,24.44,sensor:temperature
1766603888000,2025-12-24 21:18:08.000000,24.44,sensor:temperature
1766603895000,2025-12-24 21:18:15.000000,24.44,sensor:temperature
1766603901000,2025-12-24 21:18:21.000000,24.44,sensor:temperature
1766603908000,2025-12-24 21:18:28.000000,24.43,sensor:temperature
1766603915000,2025-12-24 21:18:35.000000,24.44,sensor:temperature
1766603921000,2025-12-24 21:18:41.000000,24.43,sensor:temperature
1766603928000,2025-12-24 21:18:48.000000,24.43,sensor:temperature
1766603935000,2025-12-24 21:18:55.000000,24.43,sensor:temperature
1766603942000,2025-12-24 21:19:02.000000,24.41,sensor:temperature
1766603948000,2025-12-24 21:19:08.000000,24.41,sensor:temperature
1766603955000,2025-12-24 21:19:15.000000,24.4,sensor:temperature
1766603960000,2025-12-24 21:19:20.000000,24.39,sensor:temperature
1766603968000,2025-12-24 21:19:28.000000,24.4,sensor:temperature
1766603974000,2025-12-24 21:19:34.000000,24.39,sensor:temperature
1766603981000,2025-12-24 21:19:41.000000,24.38,sensor:temperature
1766603988000,2025-12-24 21:19:48.000000,24.39,sensor:temperature
1766603994000,2025-12-24 21:19:54.000000,24.36,sensor:temperature
1766604001000,2025-12-24 21:20:01.000000,24.39,sensor:temperature
1766604007000,2025-12-24 21:20:07.000000,24.39,sensor:temperature
1766604014000,2025-12-24 21:20:14.000000,24.38,sensor:temperature
1766604021000,2025-12-24 21:20:21.000000,24.39,sensor:temperature
1766604027000,2025-12-24 21:20:27.000000,24.39,sensor:temperature
1766604034000,2025-12-24 21:20:34.000000,24.4,sensor:temperature
1766604040000,2025-12-24 21:20:40.000000,24.4,sensor:temperature
1766604046000,2025-12-24 21:20:46.000000,24.39,sensor:temperature
1766604053000,2025-12-24 21:20:53.000000,24.38,sensor:temperature
1766604059000,2025-12-24 21:20:59.000000,24.39,sensor:temperature
1766604066000,2025-12-24 21:21:06.000000,24.39,sensor:temperature
1766604073000,2025-12-24 21:21:13.000000,24.38,sensor:temperature
1766604079000,2025-12-24 21:21:19.000000,24.34,sensor:temperature
1766604086000,2025-12-24 21:21:26.000000,24.34,sensor:temperature
1766604093000,2025-12-24 21:21:33.000000,24.33,sensor:temperature
1766604100000,2025-12-24 21:21:40.000000,24.33,sensor:temperature
1766604107000,2025-12-24 21:21:47.000000,24.31,sensor:temperature
1766604113000,2025-12-24 21:21:53.000000,24.32,sensor:temperature
1766604120000,2025-12-24 21:22:00.000000,24.3,sensor:temperature
1766604127000,2025-12-24 21:22:07.000000,24.28,sensor:temperature
1766604133000,2025-12-24 21:22:13.000000,24.28,sensor:temperature
1766604140000,2025-12-24 21:22:20.000000,24.28,sensor:temperature
1766604147000,2025-12-24 21:22:27.000000,24.28,sensor:temperature
1766604154000,2025-12-24 21:22:34.000000,24.26,sensor:temperature
1766604161000,2025-12-24 21:22:41.000000,24.25,sensor:temperature
1766604167000,2025-12-24 21:22:47.000000,24.25,sensor:temperature
1766604173000,2025-12-24 21:22:53.000000,24.25,sensor:temperature
1766604180000,2025-12-24 21:23:00.000000,24.24,sensor:temperature
1766604187000,2025-12-24 21:23:07.000000,24.25,sensor:temperature
1766604193000,2025-12-24 21:23:13.000000,24.25,sensor:temperature
1766604199000,2025-12-24 21:23:19.000000,24.26,sensor:temperature
1766604205000,2025-12-24 21:23:25.000000,24.24,sensor:temperature
1766604212000,2025-12-24 21:23:32.000000,24.25,sensor:temperature
1766604219000,2025-12-24 21:23:39.000000,24.24,sensor:temperature
1766604226000,2025-12-24 21:23:46.000000,24.24,sensor:temperature
1766604232000,2025-12-24 21:23:52.000000,24.23,sensor:temperature
1766604239000,2025-12-24 21:23:59.000000,24.23,sensor:temperature
1766604246000,2025-12-24 21:24:06.000000,24.23,sensor:temperature
1766604252000,2025-12-24 21:24:12.000000,24.21,sensor:temperature
1766604259000,2025-12-24 21:24:19.000000,24.21,sensor:temperature
1766604266000,2025-12-24 21:24:26.000000,24.21,sensor:temperature
1766604273000,2025-12-24 21:24:33.000000,24.2,sensor:temperature
1766604280000,2025-12-24 21:24:40.000000,24.21,sensor:temperature
1766604286000,2025-12-24 21:24:46.000000,24.19,sensor:temperature
1766604293000,2025-12-24 21:24:53.000000,24.19,sensor:temperature
1766604300000,2025-12-24 21:25:00.000000,24.19,sensor:temperature
1766604307000,2025-12-24 21:25:07.000000,24.19,sensor:temperature
1766604312000,2025-12-24 21:25:12.000000,24.19,sensor:temperature
1766604318000,2025-12-24 21:25:18.000000,24.2,sensor:temperature
1766604325000,2025-12-24 21:25:25.000000,24.19,sensor:temperature
1766604332000,2025-12-24 21:25:32.000000,24.2,sensor:temperature
1766604338000,2025-12-24 21:25:38.000000,24.2,sensor:temperature
1766604345000,2025-12-24 21:25:45.000000,24.19,sensor:temperature
